RGNAL	AREA	RN	CIUDAD	ZONA	SECTOR	VIVIENDA	HOGAR	FORMUL	PERSONA	NUMPERS	RESUMEN	RELJEFE	EDAD	SEXO	NIVINST	ANOINST	ASISTEA	SABELE	IESS	DONNAC	LUGNAC	SIEMVIC	DONVIAN	LUGVIAN	CUANVIC	TRABAJO	ACTAYUDA	HORTRASA	RATMEH	HORMAS	RATMAH	AUNOTRA	PORNOT	BUSTRASA	BUSTRAMA	SITIOS	AMIGOS	DIRECTO	PRENSA	AGEPU	AGEPRI	TRESNE	TIEMBUS	MOTNOBUS	DESEATRA	CONDINA	TRABANT	MOTNOTRA	TIEMNOT	RAMA	GRUPO	CATETRAB	PERTRABN	NPERTRA	NUMTRAB	ESTABIL	HORTRAHP	HORTRAHS	HORTRAHO	RAMAS	GRUPOS	CATES	INGPAT	PAT	RETPAT	INGASA	RETASA	INGASA1	ASA	INGASA2	INGSEC	SEC	RETSEC	INV	INGINV	JUB	INGJUB	OTR	INGOTR	BON	INGBON	NOV	DIC	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	VIVEFE	INGRL	SECINS	SUBEQU	FEXP	CONDACT	PEAMSIU
4	1	1	010150	001	004	09	1	1	2	6	1	2	31	2	4	6	2	1	2	3	500105	2	2	500105	23	1	 	77	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5190	3223	4	1	3	3	 	77	 	 	0	0	 	500	2	0	0	0	0	 	0	0	 	0	2	0	2	0	1	300	2	0	1	1	1	1	1	1	1	1	1	1	1	1	098	500	1	0	107,040833	1	1
4	1	1	010150	001	004	09	1	1	3	6	1	3	10	1	3	5	1	1	2	1	 	1	 	 	10	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	098	0	0	0	107,040833	7	 
4	1	1	010150	001	004	09	1	1	4	6	1	3	5	1	3	 	1	 	 	1	 	1	 	 	5	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	098	 	0	0	107,040833	8	 
4	1	1	010150	001	004	09	1	1	5	6	1	3	3	2	 	 	 	 	 	 	 	0	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	 	0	 	0	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	098	 	0	0	107,040833	8	 
4	1	1	010150	001	004	09	1	1	6	6	1	3	0	1	 	 	 	 	 	 	 	0	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	 	0	 	0	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	098	 	0	0	107,040833	8	 
4	1	1	010150	001	004	10	1	1	1	3	1	1	32	1	5	5	2	1	2	1	 	1	 	 	32	1	 	44	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2022	7422	2	1	4	3	4	44	 	 	0	0	 	 	 	0	240	0	240	2	0	0	 	0	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	106	240	0	0	107,040833	4	2
4	1	1	010150	001	004	10	1	1	2	3	1	2	23	2	5	3	1	1	2	2	140150	1	 	 	23	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	106	0	0	0	107,040833	7	 
4	1	1	010150	001	004	10	1	1	3	3	1	3	3	2	 	 	 	 	 	 	 	0	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	 	0	 	0	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	106	 	0	0	107,040833	8	 
4	1	1	010150	001	004	11	1	1	1	3	1	1	55	1	3	7	2	1	2	1	 	1	 	 	55	2	3	40	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2696	7113	5	1	2	3	 	40	 	 	0	0	 	200	2	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	122	200	1	0	107,040833	4	2
4	1	1	010150	001	004	11	1	1	2	3	1	3	30	1	4	6	2	1	2	2	170150	2	1	170150	26	2	8	40	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2696	7113	5	1	2	3	 	40	 	 	0	0	 	100	2	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	122	100	1	0	107,040833	4	2
